ID,Category,Conditions,Bodies,Makes,Models,Mileage,Fuel_Types,Engine,Years,Fuel_Consumption,Transmission,Drives,Fuel_Economy,Exterior_Colors,Interior_Color,CIF_USD,Price_USD,Price_GHS,Seats,Dimensions_mm,Trim_Edition,Range_km,Power,Source,specs_json,_sourceFile,_sourceType
IZZY-CHANGAN-UNI-V-1-5T-2024,Fuel,Brand new,Sedan (Compact car),Changan,UNI-V 1.5T,,Gasoline,1.5T,2024,,7DCT,FWD,,,,13700,14700,227850,5,,,,,Changan brand new cars price list,{},Group_Sedans.csv,main-features-csv
IZZY-CHANGAN-UNI-V-2-0T-2024,Fuel,Brand new,Sedan (Compact car),Changan,UNI-V 2.0T,,Gasoline,2.0T,2024,,8AT,FWD,,,,15500,16500,255750,5,,,,,Changan brand new cars price list,{},Group_Sedans.csv,main-features-csv
IZZY-CHERY-TIGGO-9-2-0T-400T-LUXURY-2023,Fuel,Used,SUV,Chery,Tiggo 9 2.0T 400T Luxury,"75,000 km",Gasoline,2.0T,2023,,Automatic,2WD,,,,18400,19400,300700,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-9-2-0T-400T-ULTIMATE-2023,Fuel,Used,SUV,Chery,Tiggo 9 2.0T 400T Ultimate,"10,000 km",Gasoline,2.0T,2023,,Automatic,2WD,,,,22527,23527,364669,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-8-PRO-1-6T-290T-LUXURY--2025,Fuel,Used,SUV,Chery,Tiggo 8 PRO 1.6T 290T Luxury+,100 km,Gasoline,1.6T,2025,,Automatic,2WD,,,,19000,20000,310000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-9-2023-400T-AWD-2023,Fuel,Used,SUV,Chery,Tiggo 9 2023 400T AWD,"20,000 km",Petrol,2.0T,2023,,Automatic,AWD,,,,23100,24100,373550,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-ARRIZO-8-1-6T-2022,Fuel,Used,Sedan,Chery,Arrizo 8 1.6T,"15,000 km",Gasoline,1.6T,2022,,Automatic,FWD,,,,16800,17800,275900,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-DONGFENG-FENGGUANG-580-PRO-2020,Fuel,Used,SUV,Dongfeng,Fengguang 580 Pro,"90,000 km",Gasoline,1.5T GDI,2020,,Automatic,FWD,,,,8700,9700,150350,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-EXEED-TXL-1-6T-DIAMOND-2019,Fuel,Used,SUV,Exeed,TXL 1.6T Diamond,"140,000 km",Gasoline,1.6T,2019,,Automatic,2WD,,,,9500,10500,162750,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-EXEED-XINGTU-WINDY-2025,Fuel,Used,SUV,Exeed,Xingtu Windy,100 km,Petrol,,2025,,Automatic,,,White / Gray,,15720,16720,259160,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GAC-TRUMPCHI-GS8-7-SEATER-TOP-CONFIG-2024,Fuel,Brand new,SUV,GAC Trumpchi,GS8 7-Seater Top Config,,Gasoline,,2024,,Automatic,,,,,29400,30400,471200,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GEELY-EMGRAND-RS-2017-1-3T-2017,Fuel,Used,Hatchback,Geely,Emgrand RS 2017 1.3T,"120,000 km",Petrol,1.3T,2017,,CVT,FWD,,,,7780,8780,136090,5,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-GEELY-BOYUE-L-1-5TD-PREMIUM-2024,Fuel,Used,SUV,Geely,Boyue L 1.5TD Premium,"21,000 km",Gasoline,1.5TD,2024,,Automatic,FWD,,,,17300,18300,283650,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GEELY-BOYUE-L-1-5TD-QICHENG-2025,Fuel,Used,SUV,Geely,Boyue L 1.5TD Qicheng,100 km,Gasoline,1.5TD,2025,,Automatic,FWD,,,,18000,19000,294500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GEELY-XINGYUE-L-2-0TD-AWD-WANGYUE-2025,Fuel,Used,SUV,Geely,Xingyue L 2.0TD AWD Wangyue,"20,000 km",Gasoline,2.0TD,2025,,Automatic,AWD,,,,24350,25350,392925,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GEELY-BOYUE-L-2025-SHANHE-1-5TD-2025,Fuel,Used,SUV,Geely,Boyue L 2025 Shanhe 1.5TD,100 km,Petrol,1.5TD,2025,,Automatic,FWD,,,,19900,20900,323950,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GEELY-EMGRAND-GL-2017-1-8L-ELITE-2017,Fuel,Used,Sedan,Geely,Emgrand GL 2017 1.8L Elite,"73,000 km",Petrol,1.8L,2017,,Manual,FWD,,,,9000,10000,155000,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HAVAL-H6-1-5T-URBAN-2023,Fuel,Used,SUV,Haval,H6 1.5T Urban,"25,000 km",Gasoline,1.5T,2023,,Automatic,FWD,,,,15000,16000,248000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HAVAL-RAPTOR-2-0T-4WD-PRO-2025,Fuel,Used,SUV,Haval,Raptor 2.0T 4WD Pro,"13,000 km",Gasoline,2.0T,2025,,Automatic,4WD,,,,25000,26000,403000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HAVAL-H7-2-0T-PREMIUM-2020,Fuel,Used,SUV,Haval,H7 2.0T Premium,"53,000 km",Gasoline,2.0T,2020,,Automatic,,,,,12250,13250,205375,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HAVAL-H9-2-0T-4WD-ADVENTURE-2024,Fuel,Used,SUV,Haval,H9 2.0T 4WD Adventure,"20,000 km",Gasoline,2.0T,2024,,Automatic,4WD,,,,29450,30450,471975,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HAVAL-H9-2-0T-4WD-EXTREME-2024,Fuel,Used,SUV,Haval,H9 2.0T 4WD Extreme,"2,000 km",Gasoline,2.0T,2024,,Automatic,4WD,,,,30100,31100,482050,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-CR-V-240TURBO-2WD-SMART-2023,Fuel,Used,SUV,Honda,CR-V 240TURBO 2WD Smart,"10,000 km",Gasoline,1.5T,2023,,CVT,2WD,,,,24000,25000,387500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-CR-V-240TURBO-2WD-URBAN-2021,Fuel,Used,SUV,Honda,CR-V 240TURBO 2WD Urban,"40,000 km",Gasoline,1.5T,2021,,CVT,2WD,,,,20800,21800,337900,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-CR-V-240TURBO-2WD-COMFORT-2021,Fuel,Used,SUV,Honda,CR-V 240TURBO 2WD Comfort,"60,000 km",Gasoline,1.5T,2021,,CVT,2WD,,,,19000,20000,310000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-CR-V-240TURBO-2WD-VITALITY-2024,Fuel,Used,SUV,Honda,CR-V 240TURBO 2WD Vitality,"15,000 km",Gasoline,1.5T,2024,,CVT,2WD,,,,24900,25900,401450,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-CIVIC-180TURBO-COMFORT-2017,Fuel,Used,Sedan,Honda,Civic 180TURBO Comfort,"110,000 km",Gasoline,1.0T,2017,,CVT,FWD,,,,10750,11750,182125,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-CIVIC-220TURBO-SPORT-2018,Fuel,Used,Sedan,Honda,Civic 220TURBO Sport,"70,000 km",Gasoline,1.5T,2018,,CVT,FWD,,,,12700,13700,212350,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-CIVIC-220TURBO-SPORT-2019,Fuel,Used,Sedan,Honda,Civic 220TURBO Sport,"110,000 km",Gasoline,1.5T,2019,,CVT,FWD,,,,12200,13200,204600,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-CIVIC-220TURBO-DYNAMIC-2019,Fuel,Used,Sedan,Honda,Civic 220TURBO Dynamic,"95,000 km",Gasoline,1.5T,2019,,CVT,FWD,,,,13100,14100,218550,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-CIVIC-220TURBO-LUXURY-2016,Fuel,Used,Sedan,Honda,Civic 220TURBO Luxury,"110,000 km",Gasoline,1.5T,2016,,CVT,FWD,,,,12700,13700,212350,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-CIVIC-HATCHBACK-220-TURBO-2021,Fuel,Used,Sedan,Honda,Civic Hatchback 220 TURBO,"53,000 km",Gasoline,1.5T,2021,,CVT,FWD,,,,17400,18400,285200,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-ACCORD-260TURBO-ELITE-2018,Fuel,Used,Sedan,Honda,Accord 260TURBO Elite,"66,000 km",Gasoline,1.5T,2018,,CVT,FWD,,,,16200,17200,266600,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HONDA-ACCORD-11TH-GEN-2023-1-5T-LUXURY-2023,Fuel,Used,Sedan,Honda,Accord 11th-gen 2023 1.5T Luxury,"50,000 km",Petrol,1.5T,2023,,CVT,FWD,,,,20000,21000,325500,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HYUNDAI-ELANTRA-2023,Fuel,Brand new,Sedan (Compact car),Hyundai,Elantra,,Gasoline,1.5L 115hp L4,2023,,CVT,FWD,,,,17300,18300,283650,5,4720*1810*1415,,,,TrustedRide X Hangzhou Jingyun (catalog),{},Group_Sedans.csv,main-features-csv
IZZY-HYUNDAI-ELANTRA-1-6-GL-YUEDONG-2018,Fuel,Used,Sedan,Hyundai,Elantra 1.6 GL Yuedong,"54,000 km",Gasoline,1.6L,2018,,Automatic,FWD,,,,10800,11800,182900,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HYUNDAI-ELANTRA-2-0L-2026,Fuel,Brand new,Sedan,Hyundai,Elantra 2.0L,,Gasoline,2.0L,2026,,IVT Automatic,FWD,,,,16100,17100,265050,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-HYUNDAI-SONATA-2-5L-2026,Fuel,Brand new,Sedan,Hyundai,Sonata 2.5L,,Gasoline,2.5L 191hp,2026,,8-Speed Automatic,FWD,,,,22300,23300,361150,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-JETOUR-DASHENG-1-5T-ELITE-2025,Fuel,Used,SUV,Jetour,Dasheng 1.5T Elite,"5,000 km",Gasoline,1.5T,2025,,Automatic,FWD,,,,18500,19500,302250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-DASHENG-1-5T-YOUTH-UP-2025,Fuel,Used,SUV,Jetour,Dasheng 1.5T Youth UP,"3,500 km",Gasoline,1.5T,2025,,Automatic,FWD,,,,17700,18700,289850,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-YUEXIANG-2024,Fuel,Used,SUV,Jetour,X70 Yuexiang,"35,000 km",Gasoline,1.5T,2024,,Automatic,FWD,,,,14850,15850,245675,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-CHAOYUE-PRO-2025,Fuel,Used,SUV,Jetour,X70 Chaoyue PRO,"5,000 km",Gasoline,1.5T,2025,,Automatic,FWD,,,,16760,17760,275280,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-BEYOND-PRO-2025,Fuel,Used,SUV,Jetour,X70 Beyond PRO,"15,000 km",Gasoline,1.5T,2025,,Automatic,FWD,,,,17000,18000,279000,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-PLUS-CHAMPION-EDITION-MAX-2025,Fuel,Used,SUV,Jetour,X70 Plus Champion Edition MAX,"1,500 km",Gasoline,1.5T,2025,,Automatic,FWD,,,,18800,19800,306900,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-PLUS-CHAMPION-EDITION-PRO-2024,Fuel,Used,SUV,Jetour,X70 Plus Champion Edition PRO,"12,000 km",Gasoline,1.5T,2024,,Automatic,FWD,,,,16000,17000,263500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-PLUS-FENG-EDITION-2021,Fuel,Used,SUV,Jetour,X70 Plus Feng Edition,"60,000 km",Gasoline,1.5T,2021,,Manual,FWD,,,,12770,13770,213435,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-X70-PLUS-2021,Fuel,Used,SUV,Jetour,X70 Plus,"52,000 km",Gasoline,1.5T,2021,,Automatic,FWD,,,,13950,14950,231725,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-TRAVELER-2025-2-0TD-XWD-DISCOVERY-2025,Fuel,Used,SUV,Jetour,Traveler 2025 2.0TD XWD Discovery,"14,000 km",Petrol,2.0TD,2025,,Automatic,AWD,,,,25500,26500,410750,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-TRAVELER-2025-2-0TD-4WD-ANNIVERSARY-2025,Fuel,Brand new,SUV,Jetour,Traveler 2025 2.0TD 4WD Anniversary,,Petrol,2.0TD,2025,,Automatic,4WD,,White,,28024,29024,449872,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-KIA-K3S-2014-1-6-GL-2014,Fuel,Used,Hatchback,Kia,K3S 2014 1.6 GL,"100,000 km",Petrol,1.6L,2014,,Automatic,FWD,,,,6800,7800,120900,5,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-KIA-K3-2015-1-6-GLS-2015,Fuel,Used,Sedan,Kia,K3 2015 1.6 GLS,"50,000 km",Petrol,1.6L,2015,,Manual,FWD,,,,8550,9550,148025,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-LEXUS-NX-2024-NX260-2-5-2024,Fuel,Used,SUV,Lexus,NX 2024 NX260 2.5,"7,000 km",Petrol,2.5L,2024,,Automatic,AWD,,,,40500,41500,643250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-LEXUS-NX-200-2018-2-0-F-SPORT-2018,Fuel,Used,SUV,Lexus,NX 200 2018 2.0 F-Sport,"90,000 km",Petrol,2.0L,2018,,CVT,AWD,,,,21600,22600,350300,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-LEXUS-NX-200-2020-2-0-F-SPORT-2020,Fuel,Used,SUV,Lexus,NX 200 2020 2.0 F-Sport,"60,000 km",Petrol,2.0L,2020,,CVT,AWD,,,,22000,23000,356500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-MENGMA-TELEHANDLER-2026,Fuel,Brand new,Telehandler,Mengma,Telehandler,,Diesel,,2026,,,,,,,68500,69500,1077250,1,,,,,WhatsApp Chat (machinery),{},Group_Machinery.csv,category-csv
IZZY-MERCEDES-AMG-E53-4MATIC--3-0T-48V-2021,Fuel,Used,Sedan,Mercedes-AMG,E53 4MATIC+ 3.0T 48V,"30,000 km",Gasoline / Mild hybrid,3.0T,2021,,Automatic,AWD,,,,69700,70700,1095850,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-MERCEDES-BENZ-C-CLASS-C260L-1-5T-48V-SPORT--FACELIFT-III--2024,Fuel,Used,Sedan,Mercedes-Benz,C-Class C260L 1.5T 48V Sport (Facelift III),"13,000 km",Gasoline / Mild hybrid,1.5T,2024,,Automatic,RWD,,,,38500,39500,612250,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-MG-MG5-180DVVT-1-5L-FASHION-MANUAL-2023,Fuel,Brand new,Sedan,MG,MG5 180DVVT 1.5L Fashion Manual,,Gasoline,1.5L,2023,,Manual,FWD,,,White,12600,13600,210800,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-MG-MG5-180DVVT-1-5L-GLOBAL-LUXURY-AUTO-2025,Fuel,Brand new,Sedan,MG,MG5 180DVVT 1.5L Global Luxury Auto,,Gasoline,1.5L,2025,,Automatic,FWD,,,White / Grey,14100,15100,234050,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-NISSAN-QASHQAI-2025-2-0-CVT-XV-2024,Fuel,Used,SUV,Nissan,Qashqai 2025 2.0 CVT XV,"14,000 km",Petrol,2.0L,2024,,CVT,FWD,,,,18800,19800,306900,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-PEUGEOT-408-2019-360THP-PREMIUM-2019,Fuel,Used,Sedan,Peugeot,408 2019 360THP Premium,"80,000 km",Petrol,1.6 THP,2019,,Automatic,FWD,,,,10950,11950,185225,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-PEUGEOT-408-2019-350THP-LUXURY-2019,Fuel,Used,Sedan,Peugeot,408 2019 350THP Luxury,"65,000 km",Petrol,1.6 THP,2019,,Automatic,FWD,,,,11700,12700,196850,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-PORSCHE-CAYENNE-3-6-2009,Fuel,Used,SUV,Porsche,Cayenne 3.6,"280,000 km",Petrol,3.6L,2009,,Automatic,4WD,,,,11000,12000,186000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-SHANTUI-215-EXCAVATOR-2026,Fuel,Brand new,Excavator,Shantui,215 Excavator,,Diesel,,2026,,,,,,,35125,36125,559938,1,,,,,WhatsApp Chat (machinery),{},Group_Machinery.csv,category-csv
IZZY-SUZUKI-SWIFT-1-5L-FASHION-COOL-2016,Fuel,Used,Sedan,Suzuki,Swift 1.5L Fashion Cool,"60,000 km",Gasoline,1.5L,2016,,Automatic,FWD,,,,7800,8800,136400,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-FORTUNER-2-7-EXR-2019,Fuel,Used,SUV,Toyota,Fortuner 2.7 EXR,"86,000 km",Gasoline,2.7L,2019,,Automatic,4WD,,,,26500,27500,426250,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-HIGHLANDER-2-0T-KNIGHT-2019,Fuel,Used,SUV,Toyota,Highlander 2.0T Knight,"100,000 km",Gasoline,2.0T,2019,,Automatic,4WD,,,,22000,23000,356500,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-C-HR-2-0-COMFORT-2020,Fuel,Used,SUV,Toyota,C-HR 2.0 Comfort,"25,000 km",Gasoline,2.0L,2020,,CVT,FWD,,,,18000,19000,294500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-C-HR-2-0-LEADING-2023,Fuel,Used,SUV,Toyota,C-HR 2.0 Leading,"40,000 km",Gasoline,2.0L,2023,,CVT,FWD,,,,17700,18700,289850,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-RAV4-2-0-URBAN-2023,Fuel,Used,SUV,Toyota,RAV4 2.0 Urban,"100,000 km",Gasoline,2.0L,2023,,CVT,FWD,,,,18900,19900,308450,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-RAV4-2-0-PIONEER-2019,Fuel,Used,SUV,Toyota,RAV4 2.0 Pioneer,"100,000 km",Gasoline,2.0L,2019,,CVT,2WD,,,,14500,15500,240250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-RAV4-RONGFANG-2022-2-0-FASHION-2022,Fuel,Used,SUV,Toyota,RAV4 Rongfang 2022 2.0 Fashion,"50,000 km",Petrol,2.0L,2022,,CVT,2WD,,,,20400,21400,331700,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-COROLLA-1-6-GL-SPECIAL-2013,Fuel,Used,Sedan,Toyota,Corolla 1.6 GL Special,"80,000 km",Gasoline,1.6L,2013,,Manual,FWD,,,,8000,9000,139500,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-YARIS-L-2016-1-5E-CHARMING-2016,Fuel,Used,Sedan,Toyota,Yaris L 2016 1.5E Charming,"85,000 km",Petrol,1.5L,2016,,CVT,FWD,,,,9600,10600,164300,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-YARIS-L-2020-1-5-LEASING-2020,Fuel,Used,Sedan,Toyota,Yaris L 2020 1.5 Leasing,"35,000 km",Petrol,1.5L,2020,,CVT,FWD,,,,12100,13100,203050,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-YARIS-L-2017-1-5E-SPEED-UPGRADE-2018,Fuel,Used,Sedan,Toyota,Yaris L 2017 1.5E Speed Upgrade,"50,000 km",Petrol,1.5L,2018,,CVT,FWD,,,,10600,11600,179800,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-YARIS-2011,Fuel,Used,Sedan,Toyota,Yaris,"250,000 km",Petrol,,2011,,Automatic,FWD,,,,6700,7700,119350,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-YARIS-L-2015-2014,Fuel,Used,Sedan,Toyota,Yaris L 2015,"100,000 km",Petrol,,2014,,Automatic,FWD,,,,7400,8400,130200,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-COROLLA-2021-1-5L-TNGA-GR-SPORT-2022,Fuel,Used,Sedan,Toyota,Corolla 2021 1.5L TNGA GR Sport,"58,000 km",Petrol,1.5L,2022,,CVT,FWD,,,,19700,20700,320850,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-COROLLA-2016-1-6L-GL-I-COOL-2016,Fuel,Used,Sedan,Toyota,Corolla 2016 1.6L GL-i Cool,"100,000 km",Petrol,1.6L,2016,,CVT,FWD,,,,10000,11000,170500,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-VOLKSWAGEN-GOLF-GTI-2-0-TSI-2017,Fuel,Used,Hatchback,Volkswagen,Golf GTI 2.0 TSI,"100,000 km",Petrol,2.0 TSI,2017,,Automatic,FWD,,,,15800,16800,260400,5,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-VOLKSWAGEN-GOLF-GTI-2-0-TSI-2018,Fuel,Used,Hatchback,Volkswagen,Golf GTI 2.0 TSI,"70,000 km",Petrol,2.0 TSI,2018,,Automatic,FWD,,,,20000,21000,325500,5,,,,,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-VOLKSWAGEN-TERAMONT-380TSI-EXCELLENCE-2025,Fuel,Used,SUV,Volkswagen,Teramont 380TSI Excellence,"6,000 km",Gasoline,2.0T,2025,,Automatic,AWD,,,,38500,39500,612250,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-WEY-VV7-2-0T-ULTRA-LUXURY-2019,Fuel,Used,SUV,WEY,VV7 2.0T Ultra-Luxury,"95,000 km",Gasoline,2.0T,2019,,Automatic,FWD,,,,12000,13000,201500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-WEY-VV7-2019-2-0T-FLAGSHIP-2019,Fuel,Used,SUV,WEY,VV7 2019 2.0T Flagship,"70,000 km",Petrol,2.0T,2019,,Automatic,FWD,,,,12800,13800,213900,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-XCMG-ZL50GN-WHEEL-LOADER-2026,Fuel,Brand new,Wheel loader,XCMG,ZL50GN Wheel Loader,,Diesel,Cummins 162kW (217hp),2026,,,4WD,,,,63297,64297,996604,1,,"5-ton load, 17.5t op. wt, bucket 2.7-4.5 m3",,,WhatsApp Chat (machinery),{},Group_Machinery.csv,category-csv
IZZY-HIGER-6125-2018,Bus,Used,Bus (55-seat),Higer,6125,,Diesel,,2018,,Manual,,,,,36000,37000,573500,55,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-HYUNDAI-COUNTY-BUS-2018,Bus,Used,"Bus (22-seat, 20 units)",Hyundai,County bus,,Diesel,,2018,,Manual,,,,,21700,22700,351850,22,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-KINGLONG-6600-2017,Bus,Used,Bus (15-seat),Kinglong,6600,,Diesel,,2017,,Manual,,,,,17500,18500,286750,15,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-TOYOTA-COASTER-2012,Bus,Used,Bus (20-seat 7m),Toyota,Coaster,,Diesel,4.0L,2012,,Manual,RWD,,,,26500,27500,426250,20,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-TOYOTA-COASTER-23-SEATER-2016,Bus,Used,Bus (23-seat),Toyota,Coaster 23-seater,,Petrol,V6,2016,,Manual,RWD,,,,35600,36600,567300,23,,,,,WhatsApp Chat,{},Group_Buses.csv,category-csv
IZZY-TOYOTA-COASTER-2022-2022,Bus,Used,Bus,Toyota,Coaster 2022,,Diesel,,2022,,Manual,RWD,,,,25000,26000,403000,20,,,,,WhatsApp Chat,{},Group_Buses.csv,category-csv
IZZY-YUTONG-ZK6119H5Y-2019,Bus,Used,Bus (48-seat 11m coach),Yutong,ZK6119H5Y,,Diesel,Weichai 270hp,2019,,Manual,,,,,37500,38500,596750,48,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-YUTONG-ZK6906H5Y-2019,Bus,Used,Bus (38-seat 9m coach),Yutong,ZK6906H5Y,,Diesel,Weichai 245hp,2019,,Manual,,,,,35000,36000,558000,38,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-YUTONG-6127-2013,Bus,Used,Bus (47-seat),Yutong,6127,,Diesel,,2013,,Manual,,,,,27500,28500,441750,47,,,,,WhatsApp Chat (buses),{},Group_Buses.csv,category-csv
IZZY-BYD-SHARK-6-PREMIUM-4WD-HYBRID-2025,Heavy,Brand new,Pickup truck,BYD,Shark 6 Premium 4WD Hybrid,,Hybrid,DMO PHEV,2025,,Automatic,4WD,,,,39500,40500,627750,5,,,,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
IZZY-BYD-SHARK-6-ADVANCED-HYBRID-2025,Heavy,Brand new,Pickup truck,BYD,Shark 6 Advanced Hybrid,,Hybrid,DMO PHEV,2025,,Automatic,4WD,,,,38000,39000,604500,5,,,,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
